City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
334,kalabo,-14.97,22.6814,27.85,52,88,1.83,ZM,1680093189
335,marquette,46.5333,-87.6335,-8.15,81,69,4.02,US,1680093190
336,aksarka,66.5606,67.7975,-12.9,83,13,4.02,RU,1680093191
337,peniche,39.3558,-9.3811,23.93,62,100,7.85,PT,1680093192
338,yaan,7.3833,8.5667,36.94,24,100,1.05,NG,1680093194
339,torata,-17.0769,-70.8433,16.02,77,53,1.67,PE,1680093197
340,turbat,26.0023,63.044,30.47,16,1,4.5,PK,1680093198
341,cayhagan,9.6697,122.4256,26.59,79,100,1.8,PH,1680093199
342,sao filipe,14.8961,-24.4956,26.13,56,91,1.94,CV,1680093199
343,katsuura,35.1333,140.3,12.76,81,100,3.03,JP,1680093200
344,longhua,23.6137,114.1919,18.66,97,100,0.51,CN,1680093203
345,kahului,20.8947,-156.47,23.8,81,0,1.34,US,1680093204
346,buraydah,26.326,43.975,29.25,12,0,0.66,SA,1680093204
347,usinsk,65.9939,57.5281,-5.71,79,37,5.86,RU,1680093205
348,doha,25.2867,51.5333,29.17,28,0,10.29,QA,1680093199
349,maningrida,-12.0667,134.2667,27.14,80,96,3.77,AU,1680093208
350,stephenville,32.2207,-98.2023,9.07,87,100,1.79,US,1680093062
351,derzhavinsk,51.1,66.3167,6.03,80,78,6.94,KZ,1680093209
352,lima,-12.0432,-77.0282,23.83,87,40,2.57,PE,1680092572
353,ulladulla,-35.35,150.4667,16.54,75,3,2.54,AU,1680093211
354,waitati,-45.75,170.5667,7.67,82,66,0.96,NZ,1680093212
355,kolobovo,56.702,41.3417,6.54,75,100,6.18,RU,1680093213
356,verkhnevilyuysk,63.4453,120.3167,-21.75,100,98,1.03,RU,1680093213
357,goiatuba,-18.0125,-49.3547,24.87,67,17,4.06,BR,1680093214
358,axim,4.8699,-2.2405,30.08,66,100,5.14,GH,1680093216
359,isiro,2.7739,27.616,28.56,53,100,0.53,CD,1680093216
360,giera,45.4072,20.9922,7.05,37,83,3.78,RO,1680093217
361,malkapur,20.8833,76.2,34.95,15,0,5.07,IN,1680093217
362,san cristobal,7.7669,-72.225,20.1,58,100,1.2,VE,1680093218
363,birin,26.8865,88.0718,16.02,30,3,1.98,NP,1680093219
364,wolgast,54.05,13.7667,11.03,100,97,5.75,DE,1680093219
365,iqaluit,63.7506,-68.5145,-17.15,84,100,9.77,CA,1680092975
366,grindavik,63.8424,-22.4338,4.26,81,100,7.72,IS,1680093220
367,wangaratta,-36.3667,146.3333,13.5,85,0,4.69,AU,1680093221
368,hasaki,35.7333,140.8333,13.22,75,100,4.6,JP,1680093222
369,bengkulu,-3.8004,102.2655,26.19,81,100,2.25,ID,1680093222
370,naron,43.5167,-8.1528,23.64,51,100,7.69,ES,1680093223
371,vila franca do campo,37.7167,-25.4333,16.23,72,99,7.66,PT,1680093224
372,mount isa,-20.7333,139.5,26.87,65,40,2.06,AU,1680093042
373,portland,45.5234,-122.6762,5.66,95,75,0.89,US,1680092676
374,ardon,43.17,44.29,17.55,80,100,1.9,RU,1680093226
375,ascope,-7.7144,-79.1078,22.63,78,100,1.76,PE,1680093227
376,flora,38.6689,-88.4856,1.14,96,0,0.0,US,1680093229
377,taltal,-25.4,-70.4833,21.38,72,3,1.46,CL,1680093229
378,karratha,-20.7377,116.8463,28.69,72,100,3.51,AU,1680093231
379,hongjiang,27.11,109.9956,12.21,91,44,1.16,CN,1680093231
380,feni,23.0186,91.41,24.93,70,16,2.62,BD,1680093232
381,nome,64.5011,-165.4064,-6.61,86,100,9.77,US,1680093232
382,niksic,42.7731,18.9445,8.15,38,42,4.2,ME,1680093233
383,orai,25.9833,79.4667,32.93,15,100,2.62,IN,1680093234
384,ponta delgada,37.7333,-25.6667,16.4,72,20,10.29,PT,1680093234
385,mocuba,-16.8392,36.9856,26.02,77,68,2.66,MZ,1680093235
386,marawi,7.9986,124.2928,20.68,96,100,0.57,PH,1680093235
387,port hedland,-20.3167,118.5667,30.03,74,100,4.63,AU,1680093235
388,sobolevo,54.4299,31.8996,-1.0,93,100,6.98,RU,1680093236
389,ayan,56.45,138.1667,-5.95,95,100,4.79,RU,1680093238
390,kupino,54.3663,77.2981,1.83,98,100,5.67,RU,1680093239
391,rassvet,46.8333,40.75,11.39,77,100,3.82,RU,1680093240
392,barreirinhas,-2.7469,-42.8264,28.65,72,88,2.23,BR,1680093241
393,honiara,-9.4333,159.95,25.79,89,100,1.57,SB,1680093241
394,biak,-0.9131,122.8766,25.05,82,99,0.77,ID,1680093242
395,ilesha,7.1371,5.2583,37.18,27,42,0.44,NG,1680093243
396,talnakh,69.4865,88.3972,-26.02,96,19,2.94,RU,1680093243
397,loandjili,-4.7561,11.8578,31.06,70,40,3.6,CG,1680093245
398,perugia,43.05,12.55,15.83,58,40,4.63,IT,1680093245
399,cairns,-16.9167,145.7667,25.97,89,40,1.03,AU,1680093081
400,atikokan,48.7555,-91.6216,-14.25,93,95,2.89,CA,1680093247
401,yuancheng,36.652,107.7896,14.25,28,28,4.05,CN,1680093248
402,alice springs,-23.7,133.8833,26.75,44,100,5.66,AU,1680093046
403,tessalit,20.1986,1.0114,34.57,5,1,3.57,ML,1680093250
404,jiazi,22.8779,116.067,19.17,84,93,5.67,CN,1680093251
405,raymondville,26.4815,-97.7831,15.61,76,100,4.32,US,1680093252
406,nyirmartonfalva,47.5833,21.9,5.74,32,99,3.76,HU,1680093253
407,najran,17.4924,44.1277,29.36,42,72,6.28,SA,1680093254
408,kribi,2.95,9.9167,29.03,70,89,2.92,CM,1680093255
409,teahupoo,-17.8333,-149.2667,21.98,79,63,3.38,PF,1680093256
410,palmer,42.1584,-72.3287,4.02,56,43,0.69,US,1680093080
411,nerchinskiy zavod,51.3088,119.61,-10.47,86,46,1.57,RU,1680093259
412,muroto,33.2833,134.15,14.89,53,83,1.5,JP,1680093260
413,fairbanks,64.8378,-147.7164,-9.11,79,40,1.54,US,1680093001
414,oranjemund,-28.55,16.4333,19.21,62,0,10.66,NA,1680093262
415,inta,66.0317,60.1659,-7.51,84,100,5.89,RU,1680093262
416,luau,-10.7073,22.2247,24.7,74,94,1.92,AO,1680093263
417,serenje,-13.2325,30.2352,19.65,82,100,1.76,ZM,1680093264
418,bilma,18.6853,12.9164,33.85,6,0,4.12,NE,1680093266
419,zimovniki,47.1483,42.4633,14.84,53,100,2.81,RU,1680093267
420,mweka,-4.85,21.5667,24.58,83,100,1.85,CD,1680093268
421,necochea,-38.5473,-58.7368,17.3,57,0,9.33,AR,1680093269
422,afua,-0.1567,-50.3867,26.76,83,52,1.54,BR,1680093270
423,shitanjing,39.2342,106.3439,12.48,15,35,1.66,CN,1680093271
424,coari,-4.085,-63.1414,22.73,99,100,1.32,BR,1680093272
425,chavakkad,10.5333,76.05,28.22,72,17,5.44,IN,1680093273
426,nantucket,41.2835,-70.0995,5.08,70,0,4.12,US,1680093081
427,gladstone,-23.85,151.25,25.96,69,40,1.54,AU,1680093274
428,saint-paul,-21.0096,55.2707,30.05,93,30,1.98,RE,1680093276
429,crotone,39.0851,17.1178,15.66,30,0,5.14,IT,1680093277
430,puerto escondido,15.85,-97.0667,24.46,83,0,3.09,MX,1680093279
431,charlestown,-32.95,151.6667,20.41,75,52,2.31,AU,1680093280
